M,p0,TAU,quantpred
0C4233672806022119CAE2C,1,5,0.45
0C5236151538996331F0D86,1,1,0.85
0C5836504729397169382ED,1,1,0.85
0C7C342209709655500B27A,1,3,0.65
0C8534101452785125C3004,1,4,0.55
0CB43433768730974B5709F,1,4,0.55
0CCE34106823029242E8E6F,1,3,0.65
0CE0338270664339039DCD4,0,5,0.45
0CEC34022647621257AFD80,0,4,0.55
0CED3412093456215925D66,0,6,0.35
0CF4336702312830401DF48,0,5,0.45
0D0B3418122508629BD24DD,1,3,0.65
0D1C3654472466907D48F08,1,1,0.85
0D253684964728298D3F8D6,1,3,0.65
0D3036553177006292F74B6,1,1,0.85
0D3A3632107065186993548,0,2,0.75
0D6B342219917917157A7EE,1,3,0.65
0D743422936641178C4ADA4,0,4,0.55
0D8336332288213169BDB65,1,1,0.85
0D8F3420160989303C3B830,1,3,0.65
0DA833844691434676C7940,0,5,0.45
0DD034153708555986F36C8,1,3,0.65
0DDA36381985949433F8618,1,1,0.85
0DDD359170298229017A993,1,4,0.55
0DE03415060255039606213,1,3,0.65
0DE13648002478694F7582D,0,3,0.65
0DE23393084812203539FA3,1,3,0.65
0DE33417694546522B56837,0,4,0.55
0DE63368573924802830414,1,5,0.45
0E1A33885279843546A04F1,1,3,0.65
0E1D34222024609803E472B,1,4,0.55
0E43340128651144091D3D0,1,5,0.45
0E4A3425102539910C9C008,1,3,0.65
0E64339419415423068FAD8,0,4,0.55
0E70365503480704831E939,1,0,0.95
0E813385236732706182578,0,3,0.65
0E8D3382368296404A9005C,1,5,0.45
0E9B35917616644788B9272,1,1,0.85
0EA63402382293111ED962B,1,1,0.85
0EB335998999087904BA479,1,5,0.45
0EC933999551046167590AF,1,4,0.55
0ECE3397857230154665FFB,1,3,0.65
0ECF3405178061220AE0048,0,2,0.75
0EDB366464527263798C835,1,2,0.75
0EE233821610724027E519A,0,5,0.45
0EEA3415160127833E89F50,0,4,0.55
0F0E34098664053027E8A79,1,4,0.55
0F19336529221988947EBEB,1,4,0.55
0F2034077507881104D071D,0,3,0.65
0F2934127931846958C6765,1,4,0.55
0F2C3614492963063841EAE,1,0,0.95
0F5A33990229833993138DB,1,3,0.65
0F5C366471692131307F942,1,1,0.85
0F6533829459718479A3AC5,0,5,0.45
0F6633903474600180B2CB2,0,3,0.65
0F6B3581202939670A85499,1,2,0.75
0F6E3634226023918660AD1,1,2,0.75
0F72360091989588480A5C3,1,1,0.85
0FB134216066929527BD931,1,4,0.55
0FB836503355908502C3B95,1,1,0.85
0FBD3651644583094D21BA9,0,2,0.75
