M,p0,TAU,quantpred
10B936436256209340D3113,1,5,0.45
10BB3627610547379D8F5DE,1,2,0.75
10C736510132292669AEA9E,0,4,0.55
10DB3613960633171B01FED,0,3,0.65
10E636159589136093F7115,1,4,0.55
1114363249989888777AEFB,1,3,0.65
1122363899870592958317F,1,2,0.75
11443637594709619D3553D,1,3,0.65
1147364773884751421A862,1,2,0.75
11543648779319999D45D17,0,4,0.55
115636567537689019CE5AB,1,2,0.75
11773666158888686CCC19D,1,2,0.75
117836176959118651C51B6,1,2,0.75
119F365598063142894ED1A,1,2,0.75
11A03613573061591D2E3E0,1,2,0.75
11AC36332857572052A4004,1,4,0.55
11B8365599820453451B2E9,1,3,0.65
11BE3655609839869FDCFCB,0,3,0.65
11DD3648079858431AED606,1,6,0.35
11E43648018032655C8BB82,0,3,0.65
11EC3623281663019344619,1,2,0.75
122836266247458254B1BF0,1,3,0.65
122D3629516327390882974,1,3,0.65
12463632772769859EC0292,1,4,0.55
1247366045964912235B9A8,0,3,0.65
127936207735304049F28A1,1,2,0.75
1286363113684240169C27A,1,4,0.55
12913649460148131A108A7,1,2,0.75
129A3627273894227D3DF62,1,2,0.75
12BC36371298328898A42C7,0,2,0.75
12C03638583314148927BED,1,3,0.65
12C1365940149061906F59C,1,2,0.75
12DC3634870572037A29344,1,2,0.75
12E03647947233985CA9DC0,1,3,0.65
12FE36166921341386B79AC,1,5,0.45
13073625156457997F4449D,1,2,0.75
132B36285264955043A17DB,1,3,0.65
1331366889491150414677F,1,3,0.65
13353626384270764FE9C36,1,5,0.45
134E36315168986878BCEAD,0,2,0.75
13773666952445658A7D7E8,1,4,0.55
13993655221207948B65496,1,3,0.65
13C73638609910091BD656E,1,2,0.75
13CA36544235510454D854A,1,4,0.55
13CC3700262600224D82C37,1,4,0.55
13D33654352165749E5D13E,1,2,0.75
13D736697422175494E48A4,1,3,0.65
13E336437174203072139AF,1,2,0.75
13E436224443762030400C1,1,3,0.65
142336483180121873A15C4,1,3,0.65
143C3619659214394910674,1,4,0.55
144136414693707062BF4CF,1,2,0.75
144C36599372616412F7836,1,1,0.85
146E3659138570323AABBB1,1,7,0.25
147D366230621290023D601,1,3,0.65
14813626801860387505D80,1,3,0.65
1487362185873934042E09E,0,3,0.65
148736223299508370D710F,1,5,0.45
149036567603726762DE66A,1,4,0.55
149C36260929281704679E2,1,2,0.75
14A03653601852764464A48,1,7,0.25
14A1364825524917865E728,1,5,0.45
14A43645894499883B152B4,0,6,0.35
14B536897956847518244A4,1,6,0.35
14B83644542103749F49642,1,4,0.55
14BB3617452978578C04A22,1,3,0.65
14D936373431788128E7EC4,1,0,0.95
14E03643114194108A9D297,1,5,0.45
14E53642163945665CDB4B5,1,6,0.35
14E83633635145069453E46,1,3,0.65
14F73641024330175F91CB8,1,9,0.05
14F93649121347979A282FC,1,2,0.75
15033634283754701633CF1,0,3,0.65
150436163622158591DD8DE,1,2,0.75
15133676961574133308284,1,5,0.45
15143651232758661AACBC7,1,7,0.25
151836420867487012E2E15,1,3,0.65
15213660645132844DAEB78,1,3,0.65
1525367700351559882D0B5,1,4,0.55
15393639099056905ED1292,1,3,0.65
154B3637893310335A9F5D7,0,2,0.75
154C3641962661968CE55BA,1,6,0.35
1561365378006942388ACE1,1,3,0.65
1579363422426654417EBD1,1,3,0.65
159D36275297099823597CE,0,5,0.45
15A3363212871830117FDC0,1,2,0.75
15AA3612138568116096B9A,0,2,0.75
15CA3637411646648EA62D0,1,3,0.65
15DB3636280058200F01EB1,0,2,0.75
162B363671599282530166D,1,2,0.75
16363620249731048A60421,1,2,0.75
167036541903203541F2B8F,1,3,0.65
16813611197485122C5E188,1,2,0.75
168836507578853580C2C00,1,4,0.55
169636213238605232F1BAE,1,4,0.55
16AD3644554302638E05C91,1,3,0.65
16B036138262333494830C2,1,3,0.65
16B53613457670057E26B10,1,2,0.75
16B5363849629065888560E,1,3,0.65
16CB362382481488412F3FD,1,3,0.65
16DB361881716675323FCE7,0,3,0.65
16DD3640783094559D57751,1,4,0.55
16DF365627995015307572C,1,3,0.65
16EB369844890772441A284,1,3,0.65
17203652969267212CFF108,1,1,0.85
173736459722584958BB22B,1,1,0.85
174136513840905998244A9,1,3,0.65
174636418915400328A1616,1,2,0.75
174D3633734713669B3C823,0,2,0.75
17563646021382068280A1F,1,3,0.65
175836415495052269C718E,0,4,0.55
175F36347477914686F3705,1,3,0.65
17613660871394468DE46D5,1,4,0.55
17633633529162411D2186C,1,2,0.75
17693648506414934DCD334,1,3,0.65
1779363005751444207B67D,1,3,0.65
177A3645194036709B1E087,1,2,0.75
17953611401336207841175,0,2,0.75
179F36343452178917123C3,1,2,0.75
17AD36380612230930E9E3F,1,3,0.65
17B53663774151028EC3FA9,0,2,0.75
17C4361165061645985222D,1,7,0.25
17D43645037261269E21B66,1,8,0.15
17D836517076714986866C8,1,2,0.75
17DE36420995807261DC7C3,0,3,0.65
17E5365407247892491CC0D,1,6,0.35
17E63611678998123AF66BC,1,4,0.55
17ED36125563066202C6856,0,3,0.65
17F736346717698882F404D,1,4,0.55
181136544491309151774EF,0,3,0.65
181E3652009937226044C65,1,3,0.65
18273655973913226FF7082,1,5,0.45
18453666961929772F263EE,1,4,0.55
1861366024701539612201B,1,2,0.75
18693666846909483CB157B,1,2,0.75
186F36584721912614D6E04,1,5,0.45
187836424096338517FA439,1,2,0.75
187D36456424773004DCEAF,0,1,0.85
187E3644144163070F2E1B5,1,2,0.75
188936264686331819031B2,1,6,0.35
188E3637487252863F60E83,1,3,0.65
18923623122327193AC204E,0,3,0.65
189F36322776986798243E8,1,2,0.75
18A8363784068213470B940,1,3,0.65
18B53614299989888E7BCE8,1,3,0.65
18B63643558493338B482DA,1,2,0.75
18B63645847472237BDE4DE,1,5,0.45
18B9365241064496155E90F,0,7,0.25
18C03651505865772D89D38,0,5,0.45
18CD36134898650547D0C31,1,3,0.65
18CE3685460271824F4571D,1,3,0.65
18DD3625732545586995BF7,0,4,0.55
18E636449962326336AEDB5,1,5,0.45
18E83630646177309027C44,1,2,0.75
18EC365436713049850DA62,1,6,0.35
18F23631864819323F144C3,1,3,0.65
18F636677820892964EEB87,0,4,0.55
19083625026953397598070,1,4,0.55
1911361641965695223DE86,0,4,0.55
19393647342983331593EC9,1,2,0.75
194E3655316406182486B87,1,3,0.65
19513632553167004E84066,0,3,0.65
196F3655775819842E6774E,1,5,0.45
198336440269315066B359C,1,3,0.65
198936278879770415B6829,0,2,0.75
1991365518710195049BD38,0,9,0.05
1995362007634154716BB59,1,3,0.65
19A636609693178059FB318,1,5,0.45
19AA3640638762435192E7B,1,2,0.75
19B136355046235693A871B,1,3,0.65
19CA362021615983031A173,0,2,0.75
19D43627610518500A29A14,1,4,0.55
19D436278055423313F9537,1,3,0.65
19E336274914505551D4FC0,1,3,0.65
19E436467208833916B4F53,1,3,0.65
19F036585350529951C5F5B,0,6,0.35
1A123672425267168252D20,1,3,0.65
1A193649740825664643E1A,0,4,0.55
1A1F3617718264386E0C104,1,3,0.65
1A213613553764272F57CA8,1,3,0.65
1A2236373500839981388F6,1,3,0.65
1A6036601937826272FDC22,0,3,0.65
1A64362068823847244C06F,1,2,0.75
1A683664676832265D933E6,1,2,0.75
1A713619484832488F92BA5,1,3,0.65
1A7736631448683716001AC,0,2,0.75
1A80365670966560040271C,1,3,0.65
1A8D36532510754747E02F4,1,2,0.75
1AAA3641538490523224337,1,3,0.65
1ABD3645583995411E49310,1,2,0.75
1AC43628525244376EB1B87,1,3,0.65
1AD63650222072973B74FE7,0,3,0.65
1AEE36208357013554EFC9B,0,3,0.65
1AF73657597967233708A7A,0,4,0.55
1B023619684508481D29AA3,1,2,0.75
1B23362586861741732AE73,1,3,0.65
1B2536519013189237FFBCF,1,2,0.75
1B66363096776732324982B,1,3,0.65
1B853622091934847C8BAC8,1,3,0.65
1B923640910335352C25AF8,1,9,0.05
1BD03656102088692F36F4C,1,3,0.65
1BD83663880776083266192,1,2,0.75
1BF536640645196213DB877,1,2,0.75
1BF83635430388570F9A20D,1,3,0.65
1C083638477395151A86B3F,1,3,0.65
1C1B36418607362364AFCD7,1,3,0.65
1C3836180852246217DE9DE,1,2,0.75
1C403634889201773AF4A12,1,3,0.65
1C5636352638031261E6B8A,1,2,0.75
1C5736152986644763CC88E,1,2,0.75
1C7436538930288032F47CB,1,5,0.45
1C7E364532698377641334F,1,3,0.65
1C823629178714275E1B8F3,1,2,0.75
1C8E366017416421279C004,1,4,0.55
1CA436656734945979D425D,1,2,0.75
1CA7363737390050879C1A9,1,2,0.75
1CA83653799439706962889,1,3,0.65
1CAB36384533223264170A6,0,5,0.45
1CB03650389619467E37573,1,4,0.55
1CBF363933968765421D3D3,1,3,0.65
1CC0366025792187485A370,1,4,0.55
1CD13665512108322A7B727,1,2,0.75
1CDE361982423993047E864,1,4,0.55
1CEF3619835231397E3800A,1,2,0.75
1CF8365786776819283F2AD,1,5,0.45
1CFC36290412621179EC863,1,6,0.35
1D043660408143767E4BCFA,1,4,0.55
1D093620593219989D0DF72,1,5,0.45
1D1C363443949570861F45C,1,3,0.65
1D1D3629572627438C3601B,1,2,0.75
1D1F361285664543706ED8B,1,3,0.65
1D243614940327068BA955E,1,0,0.95
1D3436339798433853B98F0,1,4,0.55
1D3F36154190813845C51C4,0,2,0.75
1D58365656597323693AF6F,0,4,0.55
1D5F36471840603436B12D7,1,3,0.65
1D8F36442851644008B746F,1,8,0.15
1D923613655991743957C67,1,3,0.65
1DA23616874021914E5CEC6,1,4,0.55
1DAD3652739504490AC5E17,0,5,0.45
1DB03660516510826E85732,1,3,0.65
1DE2363151351510685D5DE,1,2,0.75
1DE636397713965783FF44F,1,3,0.65
1DF3363648231110403648B,1,3,0.65
1E19366442324584553403E,0,3,0.65
1E2F3665417585337253955,0,3,0.65
1E873621774334367863953,0,3,0.65
1E95366601220738165E6AA,1,3,0.65
1EA13625154218695606024,0,5,0.45
1EA43628766200172A92AD2,1,3,0.65
1EAD36416941120986420BB,0,3,0.65
1EBC3624061731508068705,1,2,0.75
1EC13660847516699333623,1,4,0.55
1ED336180934263398A6F33,1,3,0.65
1EF4366339761740663CD17,1,3,0.65
1F0B3656110725985B3C44F,1,3,0.65
1F0F3660723499509EC0C79,1,3,0.65
1F3736324850332178C03B1,1,2,0.75
1F403663111784159D0EFC6,1,2,0.75
1F44362757853305955DB4B,1,6,0.35
1F553643038177269E4C550,0,2,0.75
1FB63612526169945004115,1,3,0.65
1FCA3665118851532855801,1,2,0.75
1FE136311507350968B589F,1,2,0.75
20013627993492108BB6A8C,1,3,0.65
20423628771966638DB244A,1,2,0.75
20463637714591127E86B91,1,2,0.75
20493649341000272E05D4C,1,5,0.45
205D3653442278132CBE9BC,1,3,0.65
205F3635408453014A1EF41,1,3,0.65
2079364842530246744E4E7,1,9,0.05
20973613906376086087F3A,1,5,0.45
209B3639160414807D4D242,1,3,0.65
20A7363365509157040A911,1,3,0.65
20A73643893778444C10188,1,3,0.65
20BD3625322943155C626F7,0,3,0.65
20BF3650646077846F2CF6F,1,3,0.65
20C23663405686666EFD893,1,2,0.75
20D3361979861237465B986,1,2,0.75
20D83625385455646D0F5DD,1,7,0.25
20E63620232257457848AF5,1,3,0.65
20EE3648345755239418752,1,3,0.65
20FA36622746272934FD1A0,1,3,0.65
21043654469382805A9C88F,1,3,0.65
21073620526789112602095,1,2,0.75
211E365218173126429483E,1,3,0.65
21213637389056561997B85,1,3,0.65
21283668184792946069E7F,1,2,0.75
212E36341754670532831B9,1,5,0.45
21533620203179525BFE3CF,1,4,0.55
2157363476932022169B68D,1,4,0.55
21923657895293758CB2FB4,1,3,0.65
21A23639353790740662E0A,1,1,0.85
21B53622542278486A2A382,1,0,0.95
21D536145935307282AF037,1,4,0.55
21D836205768672156CC996,1,3,0.65
21DD37020186737898393C7,1,4,0.55
21E936437425289280987BC,0,4,0.55
21F6365368728170338AE79,1,3,0.65
21FA36168376862327DDCCE,1,3,0.65
220836566226702759DD19D,1,3,0.65
2215362058065660642AAB3,0,3,0.65
22433665004260345AE9139,1,2,0.75
225E3644533939577C9D0CB,0,3,0.65
2266361664551585491BBCD,0,3,0.65
226E3641149692618FDB654,1,6,0.35
227D366536951186009AD5A,1,3,0.65
22A336517767085201D9A29,1,1,0.85
22A6363280114273093C554,1,2,0.75
22A83626239274559633E09,0,3,0.65
22B23619495798993D1B6A6,1,5,0.45
22B53646252859104A48492,1,3,0.65
22C73663056256134922909,1,9,0.05
22CB3654178671685CE1A89,1,3,0.65
22CF363255650404092232E,1,2,0.75
22ED3640595664711F2B534,0,5,0.45
22EF365692395845194D296,1,5,0.45
22F536444082428066E402D,1,3,0.65
22FF3613931946790477194,1,2,0.75
230836944749251450A56CD,1,6,0.35
231E36200676921246A90CF,1,3,0.65
232B3629642057547C0A1E7,1,3,0.65
233A3621305164508B109C8,1,2,0.75
23413631359795633C4B6C1,0,4,0.55
23633642273007788235BDB,1,2,0.75
23713642811974714A0B86F,1,2,0.75
237D3647285910674ADB871,1,3,0.65
239B36345523590830860C9,1,2,0.75
23A236314480710344A5AF2,1,4,0.55
23CA3645898575898A51515,1,2,0.75
23DA3624795119322357553,0,3,0.65
23DD3617184016572B6A1C3,1,3,0.65
23F83656386445685C86954,1,3,0.65
241A3663878197000D8FD1B,1,3,0.65
24233656145121230768031,1,7,0.25
24333618260218852C40521,1,5,0.45
243A36354211353110FB398,1,3,0.65
24523655470686226B2104A,1,6,0.35
245D36597864596457129CE,1,9,0.05
246A365257218411132CCEF,1,2,0.75
24703619595769829CD0E66,1,3,0.65
2488361324459860992637B,1,2,0.75
248D3636714521410AEC98C,0,4,0.55
24AB3632758390306548EB0,0,2,0.75
24BD36571738675348049A9,1,3,0.65
24DA36411321712728539CD,0,3,0.65
24F53646959823138CD6D20,1,3,0.65
25023634508991239D5DEC5,1,3,0.65
250C3635835023491A2AD75,1,3,0.65
251136382518386586AA64D,1,2,0.75
251B3647203353449104BB5,1,1,0.85
252136980465203785EB9F4,1,8,0.15
25403635366076187727463,1,3,0.65
2540363851690809697C2CE,1,7,0.25
25633618641649765706BA5,1,3,0.65
257E3613673129637861743,1,3,0.65
25853652642037570788B8D,1,6,0.35
258D362969307648562A2DF,0,4,0.55
259C3622445087092CC8CAB,1,1,0.85
25B13662915181500E9780F,1,2,0.75
25B33632670356582FCF470,1,3,0.65
25B33683054527280EDEEE5,0,3,0.65
25DD3638923290054333B90,1,4,0.55
25F73670900945601A0A269,1,3,0.65
26013695593997329345A53,1,7,0.25
26033632479021977930717,1,2,0.75
26053630976875660273D51,1,3,0.65
260E36487385443869490AD,1,3,0.65
26133644421767314359224,1,3,0.65
26203637435098936AD2F89,1,2,0.75
26203645836491875E3A18C,1,3,0.65
26253659711036579D3C400,1,4,0.55
263A363613654951591713D,1,3,0.65
2649365345814771067F9FC,1,2,0.75
26643641255575267987660,1,5,0.45
267A36661013172618495D7,1,5,0.45
2684366164324930768668C,1,2,0.75
2685363635653740738AAC3,1,2,0.75
26913664366905389C541FF,1,7,0.25
26C0364098600077765CA0D,1,7,0.25
26CA3623969136086A739DD,1,4,0.55
26CB3625571581424B7ABD9,1,3,0.65
26CD36460174392048AE4AD,1,8,0.15
26DC36417125938237627AC,1,4,0.55
26DF3641350734109136615,1,4,0.55
26E23653314056080567ACA,1,2,0.75
26E43632690250999581763,1,4,0.55
27053632963013278B61E2D,1,3,0.65
270D36275787705632DA764,1,2,0.75
270F3638538991284587344,1,4,0.55
27213638470870406738CDB,0,3,0.65
27263633098623785DFD6E1,1,3,0.65
27263635536586096E7D9FF,1,3,0.65
27433641669136034C0F502,1,4,0.55
27453611974374215321762,1,5,0.45
276936187971139588FA068,1,2,0.75
27713645179590172869F21,1,2,0.75
277436532760122469B02A9,1,4,0.55
277A3618562563312370C8D,1,3,0.65
27903659869426695D6EB18,1,2,0.75
27933621101397257ADC6B8,1,3,0.65
2797365029047643297DF08,1,3,0.65
27A036567446971837F4007,1,3,0.65
27A436312912169160319B1,1,6,0.35
27A5362791167899956F48D,1,3,0.65
27A53651853721908087D7D,1,2,0.75
27BA3648953075785FC4073,1,2,0.75
27E8363407288149610D5B5,1,4,0.55
27F2365343318071487DF9C,0,3,0.65
2811366221672253768401E,1,3,0.65
28123650193962357E70E35,0,5,0.45
2828364551919136350D06D,0,4,0.55
2838363612302866990BE23,1,3,0.65
284136193070098330D09A4,1,3,0.65
287B3664571558717A4AC40,1,4,0.55
287D36165234085025EA620,1,4,0.55
289E36247694182669C53AB,1,2,0.75
28A93643837055855ADF7AF,1,5,0.45
28AA36489895934535E4B8B,1,3,0.65
28C23636641285605CAD9D9,1,3,0.65
28ED3668953937751298D6B,1,0,0.95
290C36531635801288EAD45,1,4,0.55
29143646482258198185F87,1,2,0.75
29153662648816064F8C8BE,1,1,0.85
293A363693563242761FB0F,1,8,0.15
293B3660548542206788815,1,3,0.65
295A36622814035798B91C7,1,2,0.75
296036437497347532F6C85,0,1,0.85
